trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
41,2025-04-22T15:45:00-04:00,XLV,BUY,Breakout > $134.95 | ADX=46.0 | RSI=68.5 | Vol spike 1.5x | SPY bullish | SL=$134.84 | TP=$135.45,740,135.04,1.0,,
42,2025-04-23T09:30:00-04:00,XLV,SELL,Take profit hit at $137.12 (TP: $135.45),740,137.12,1.0,1538.2000000000094,1.5392682521670134
43,2025-04-24T12:15:00-04:00,XLV,BUY,Breakout > $136.97 | ADX=34.2 | RSI=66.4 | Vol spike 1.5x | SPY bullish | SL=$136.90 | TP=$137.50,730,137.1,1.0,,
44,2025-04-24T12:40:00-04:00,XLV,SELL,Price $137.00 < 5-SMA $137.05,730,137.0,1.0,-73.99999999999585,-0.07393789217057258
45,2025-04-24T14:50:00-04:00,XLV,BUY,Breakout > $137.23 | ADX=29.8 | RSI=72.3 | Vol spike 1.5x | SPY bullish | SL=$137.15 | TP=$137.55,729,137.28,1.0,,
46,2025-04-24T14:55:00-04:00,XLV,SELL,Price $137.15 < 5-SMA $137.20,729,137.15,1.0,-95.76999999999668,-0.09569524287626174
47,2025-04-24T15:45:00-04:00,XLV,BUY,Breakout > $137.45 | ADX=26.4 | RSI=60.4 | Vol spike 1.5x | SPY bullish | SL=$137.29 | TP=$137.83,728,137.47,1.0,,
48,2025-04-24T15:55:00-04:00,XLV,SELL,Price $137.39 < 5-SMA $137.41,728,137.39,1.0,-59.240000000009104,-0.05919314270824126
49,2025-04-25T13:10:00-04:00,XLV,BUY,Breakout > $137.42 | ADX=34.0 | RSI=72.9 | Vol spike 1.5x | SPY bullish | SL=$137.38 | TP=$137.84,728,137.53,1.0,,
50,2025-04-25T13:35:00-04:00,XLV,SELL,Price $137.52 < 5-SMA $137.65,728,137.52,1.0,-8.279999999993379,-0.008269841326907406
51,2025-04-28T15:45:00-04:00,XLV,BUY,Breakout > $138.55 | ADX=48.7 | RSI=79.6 | Vol spike 1.5x | SPY bullish | SL=$138.49 | TP=$138.97,722,138.65,1.0,,
52,2025-04-29T09:30:00-04:00,XLV,SELL,Stop loss hit at $138.22 (SL: $138.49),722,138.22,1.0,-311.4600000000049,-0.3111292695864345
53,2025-04-29T12:05:00-04:00,XLV,BUY,Breakout > $139.54 | ADX=33.7 | RSI=55.8 | Vol spike 1.5x | SPY bullish | SL=$139.43 | TP=$140.16,716,139.67,1.0,,
54,2025-04-29T12:20:00-04:00,XLV,SELL,Price $139.55 < 5-SMA $139.59,716,139.55,1.0,-86.9199999999829,-0.08691589756961762
55,2025-04-30T13:25:00-04:00,XLV,BUY,Breakout > $139.67 | ADX=20.1 | RSI=58.8 | Vol spike 1.5x | SPY bullish | SL=$139.58 | TP=$140.04,716,139.73,1.0,,
56,2025-04-30T13:55:00-04:00,XLV,SELL,Price $139.81 < 5-SMA $139.91,716,139.81,1.0,56.280000000008954,0.056253178484507546
57,2025-04-30T15:50:00-04:00,XLV,BUY,Breakout > $140.23 | ADX=30.2 | RSI=71.8 | Vol spike 1.5x | SPY bullish | SL=$140.29 | TP=$141.01,712,140.53,1.0,,
58,2025-05-01T09:30:00-04:00,XLV,SELL,Stop loss hit at $137.22 (SL: $140.29),712,137.22,1.0,-2357.7200000000016,-2.356344837153039
59,2025-05-02T09:30:00-04:00,XLV,BUY,Breakout > $137.79 | ADX=38.6 | RSI=66.0 | Vol spike 1.5x | SPY bullish | SL=$138.36 | TP=$139.46,720,138.73,1.0,,
