trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
97,2025-06-09T14:25:00-04:00,OKLO,BUY,BUY,1547,52.68,1.0,,
98,2025-06-09T14:35:00-04:00,OKLO,SELL,SELL,1547,52.66,1.0,-31.940000000004837,-0.03919164592152251
99,2025-06-09T14:45:00-04:00,OKLO,BUY,BUY,1545,52.73,1.0,,
100,2025-06-10T10:00:00-04:00,OKLO,SELL,SELL,1545,54.03,1.0,2007.5000000000066,2.46413199646246
101,2025-06-10T12:00:00-04:00,OKLO,BUY,BUY,1596,52.24,1.0,,
102,2025-06-10T12:05:00-04:00,OKLO,SELL,SELL,1596,52.02,1.0,-352.1199999999982,-0.4223275655691949
103,2025-06-10T12:10:00-04:00,OKLO,BUY,BUY,1589,52.24,1.0,,
104,2025-06-10T12:55:00-04:00,OKLO,SELL,SELL,1589,51.93,1.0,-493.5900000000036,-0.5946125278820663
105,2025-06-10T13:00:00-04:00,OKLO,BUY,BUY,1583,52.14,1.0,,
106,2025-06-10T13:10:00-04:00,OKLO,SELL,SELL,1583,51.99,1.0,-238.44999999999774,-0.28889506512223945
107,2025-06-10T14:05:00-04:00,OKLO,BUY,BUY,1580,52.11,1.0,,
108,2025-06-10T15:55:00-04:00,OKLO,SELL,SELL,1580,52.58,1.0,741.5999999999982,0.9007126998547372
109,2025-06-11T09:30:00-04:00,OKLO,BUY,BUY,1515,54.81,1.0,,
110,2025-06-11T11:50:00-04:00,OKLO,SELL,SELL,1515,65.76,1.0,16588.250000000004,19.976661329762287
111,2025-06-11T13:00:00-04:00,OKLO,BUY,BUY,1485,66.51,1.0,,
112,2025-06-11T14:15:00-04:00,OKLO,SELL,SELL,1485,66.23,1.0,-416.80000000000166,-0.42199753261039763
113,2025-06-11T14:20:00-04:00,OKLO,BUY,BUY,1477,66.63,1.0,,
114,2025-06-11T14:25:00-04:00,OKLO,SELL,SELL,1477,66.52,1.0,-163.46999999999917,-0.16610524307079302
115,2025-06-11T14:35:00-04:00,OKLO,BUY,BUY,1460,67.27,1.0,,
116,2025-06-11T14:50:00-04:00,OKLO,SELL,SELL,1460,66.61,1.0,-964.599999999995,-0.9821290390896674
117,2025-06-11T15:05:00-04:00,OKLO,BUY,BUY,1452,67.0,1.0,,
118,2025-06-11T15:10:00-04:00,OKLO,SELL,SELL,1452,66.91,1.0,-131.68000000000495,-0.1353548851313203
119,2025-06-11T15:25:00-04:00,OKLO,BUY,BUY,1449,67.08,1.0,,
120,2025-06-12T09:30:00-04:00,OKLO,SELL,SELL,1449,65.24,1.0,-2667.160000000005,-2.7439940279786286
