trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
17,2025-04-09T13:30:00-04:00,OKLO,BUY,Breakout > $22.80 | ADX=63.2 | RSI=82.4 | Vol spike 1.5x | SPY bullish | SL=$22.50 | TP=$23.86,4324,22.95,1.0,,
18,2025-04-09T13:55:00-04:00,OKLO,SELL,Take profit hit at $23.99 (TP: $23.86),4324,23.99,1.0,4495.959999999996,4.530537058833009
19,2025-04-22T09:30:00-04:00,OKLO,BUY,Breakout > $20.54 | ADX=34.9 | RSI=82.8 | Vol spike 1.5x | SPY bullish | SL=$20.63 | TP=$21.04,4799,20.77,1.0,,
20,2025-04-22T09:45:00-04:00,OKLO,SELL,Take profit hit at $21.40 (TP: $21.04),4799,21.4,1.0,3022.3699999999953,3.0321873128628516
21,2025-04-23T10:00:00-04:00,OKLO,BUY,Breakout > $23.30 | ADX=48.8 | RSI=83.7 | Vol spike 1.5x | SPY bullish | SL=$22.91 | TP=$24.10,4289,23.31,1.0,,
22,2025-04-23T10:40:00-04:00,OKLO,SELL,Price $23.70 < 5-SMA $23.75,4289,23.7,1.0,1671.7100000000025,1.6720847141844513
23,2025-04-28T15:25:00-04:00,OKLO,BUY,Breakout > $23.85 | ADX=55.0 | RSI=80.3 | Vol spike 1.5x | SPY bullish | SL=$23.83 | TP=$24.10,4187,23.92,1.0,,
24,2025-04-28T15:30:00-04:00,OKLO,SELL,Take profit hit at $24.15 (TP: $24.10),4187,24.15,1.0,962.0099999999869,0.9605303989734082
25,2025-04-28T15:45:00-04:00,OKLO,BUY,Breakout > $24.15 | ADX=60.3 | RSI=81.0 | Vol spike 1.5x | SPY bullish | SL=$24.09 | TP=$24.43,4142,24.2,1.0,,
26,2025-04-28T15:50:00-04:00,OKLO,SELL,Take profit hit at $24.49 (TP: $24.43),4142,24.49,1.0,1200.1799999999964,1.1973375207257935
27,2025-04-28T15:55:00-04:00,OKLO,BUY,Breakout > $24.49 | ADX=64.1 | RSI=86.9 | Vol spike 1.5x | SPY bullish | SL=$24.38 | TP=$24.79,4093,24.52,1.0,,
28,2025-04-29T09:30:00-04:00,OKLO,SELL,Stop loss hit at $24.06 (SL: $24.38),4093,24.06,1.0,-1883.7800000000034,-1.8769972826195296
29,2025-05-01T09:30:00-04:00,OKLO,BUY,Breakout > $23.81 | ADX=26.9 | RSI=90.9 | Vol spike 1.5x | SPY bullish | SL=$24.89 | TP=$25.60,3986,25.13,1.0,,
30,2025-05-01T09:35:00-04:00,OKLO,SELL,Stop loss hit at $24.60 (SL: $24.89),3986,24.6,1.0,-2113.5799999999904,-2.110010284600503
31,2025-05-01T09:50:00-04:00,OKLO,BUY,Breakout > $25.40 | ADX=42.1 | RSI=80.7 | Vol spike 1.5x | SPY bullish | SL=$25.12 | TP=$26.22,3922,25.49,1.0,,
32,2025-05-01T09:55:00-04:00,OKLO,SELL,Stop loss hit at $24.91 (SL: $25.12),3922,24.91,1.0,-2275.7599999999934,-2.276379630535425
33,2025-05-09T14:35:00-04:00,OKLO,BUY,Breakout > $26.98 | ADX=44.4 | RSI=85.1 | Vol spike 1.5x | SPY bullish | SL=$26.89 | TP=$27.22,3694,27.0,1.0,,
